Hanzi,Pinyin,Part of Speech,Translation
生日,shēngrì,(N),birthday
快樂,kuàilè,(Vs),happy
回來,huílái,(Vi),to come back
啊,a,(Ptc),a particle indicating a realization
怎麼,zěnme,(Adv),How come?
忘(了),wàngle,(Vpt),to forget
記得,jìde,(Vst),to remember
當然,dāngrán,(Adv),"certainly, of course"
語言,yǔyán,(N),language
交換,jiāohuàn,(V),to exchange
那麼,nàme,(Adv),so (very)
熱心,rèxīn,(Vs),with enthusiasm
西班牙文,Xībānyá wén,(N),the Spanish language
一樣,yíyàng,(Vs),"the same, alike"
過,guò,(V),to celebrate
左右,zuǒyòu,(N),approximately
門口,ménkǒu,(N),"gate, entrance"
西班牙,Xībānyá,,Spain
生日快樂,shēngrì kuàilè,,Happy Birthday.
我就是,wǒ jiù shì,,(said of self on the phone) This is s/he speaking.
好久不見,hǎojiǔ bújiàn,,long time no see
不必客氣,búbì kèqì,,No need to stand on formalities i.e. It's my pleasure.
太客氣,tài kèqì,,That's very kind of you.
