Hanzi,Pinyin,Part of Speech,Translation
喂,wéi,(Ptc),"a particle used in addressing people, especially over the phone"
房租,fángzū,(N),rent (for a room or a house)
已經,yǐjīng,(Adv),already
習慣,xíguàn,(Vs),to get settled down; to get used to
問題,wèntí,(N),"problem, question"
熱水器,rèshuǐqì,(N),water heater
好像,hǎoxiàng,(Adv),"to seem to be, to appear to be (often used to take the edge off of a comment)"
會,huì,(Vaux),will
等,děng,(V),to wait for
那,nà,(Ptc),"then, in that case"
裝,zhuāng,(V),to install
不過,búguò,(Conj),"however, but"
付,fù,(V),to pay
收到,shōudào,,to receive
不好意思,bùhǎo yìsi,,sorry
沒關係,méi guānxi,,Not a problem.
有線電視,yǒuxiàn diànshì,,cable TV
