Hanzi,Pinyin,Part of Speech,Translation
雨,yǔ,(N),rain
傘,sǎn,(N),umbrella
颱風,táifēng,(N),typhoon
要,yào,(Vaux),will, going to
夏天,xiàtiān,(N),summer (season)
濕,shī,(Vs),wet
討厭,tǎoyàn,(Vs),annoying
新聞,xīnwén,(N),news
更,gèng,(Adv),"even (more, less, etc.)"
大家,dàjiā,(N),everyone
小心,xiǎoxīn,(Vs),to be careful, to take care
可怕,kěpà,(Vs),scary
停,tíng,(Vp),to stop
下雨,xiàyǔ,,to rain
這次,zhè cì,,this time
上次,shàng cì,,last time
慢走,màn zǒu,,Bye. Take care.
