Hanzi,Pinyin,Part of Speech,Translation
還是,háishì,(Adv),"should probably, alternatively, had better"
早,zǎo,(Vs),Good morning.
約,yuē,(V),to invite someone to do something at a specific time
對面,duìmiàn,(N),"on the other side of (something), opposite"
直接,zhíjiē,(Adv),directly
不必,búbì,(Vaux),"no need to, not necessary to"
換,huàn,(V),to transfer (transportation)
車站,chēzhàn,(N),"bus station, train station"
麻煩,máfán,(Vs),troublesome
趕快,gǎnkuài,(Adv),right away; quickly (indicating urgency)
走,zǒu,(Vp),"to leave, to bid farewell"
班次,bāncì,(N),"number of scheduled runs (of trains, flights, boats, buses)"
禮拜,lǐbài,(N),week
見,jiàn,(V),to see
電腦展,diànnǎo zhǎn,,computer show
世貿展覽館,Shìmào Zhǎnlǎn Guǎn,,World Trade Center Exhibition Hall
展覽館,zhǎnlǎn guǎn,,exhibition hall
台北 101,Táiběi 101,,"Taipei 101, the tallest building in Taiwan, It was also the tallest building in the world from 2004 to 2010."
台北,Táiběi,,Taipei
2 號線,èr hào xiàn,,Line 2 (of the Taipei MRT)
別急,bié jí,,No need to hurry. Take your time.
