Hanzi,Pinyin,Part of Speech,Translation
相當,xiāngdāng,(Adv),fairly
自行車,zìxíngchē,(N),bicycle
床,chuáng,(N),bed
桌子,zhuōzi,(N),"desk, table"
椅子,yǐzi,(N),chair
家具,jiājù,(N),furniture
而且,érqiě,(Conj),also
吵,chǎo,(Vs),noisy
生活費,shēnghuófèi,(N),living expenses
低,dī,(Vs),low
留,liú,"(Vi, V)","to stay, to leave behind"
長,cháng,(Vs),long
討論,tǎolùn,(V),"to have a discussion over, to go over with"
社團,shètuán,(N),"club, association"
活動,huódòng,(N),activity
失望,shīwàng,(Vs),to be disappointed
放心,fàngxīn,(Vs-sep),"not to worry, to rest assured"
用,yòng,(V),to use
首爾,Shǒu'ěr,,Seoul
