Hanzi,Pinyin,Part of Speech,Translation
拍,pāi,(V),to take (pictures)
笑,xiào,(V),to laugh, to smile
開心,kāixīn,(Vs),happy
穿,chuān,(V),to wear, to put on
衣服,yīfú,(N),clothes
旅館,lǚguǎn,(N),hotel
太太,tàitai,(N),wife
男 + noun,nán,(N),boy-, male-
矮,ǎi,(Vs),short (height)
高,gāo,(Vs),tall
弟弟,dìdi,(N),younger brother
乾淨,gānjìng,(Vs),clean
窗戶,chuānghù,(N),window
往,wǎng,(Prep),"toward, to"
藍色,lánsè,(N),blue
因為,yīnwèi,(Conj),because
住,zhù,(V),to stay
上個月,shàng ge yuè,,last month
這些,zhèxiē,,these
