Hanzi,Pinyin,Part of Speech,Translation
工作,gōngzuò,(Vi),to work
去年,qùnián,(N),last year
做,zuò,(V),"to do, to engage in"
生意,shēngyì,(N),business
以後,yǐhòu,(N),afterwards
好,hǎo,(Vs),easy to
找,zhǎo,(V),to look for
工作,gōngzuò,(N),"job, work"
這樣,zhèyàng,(N),this kind (of)
國家,guójiā,(N),country
試,shì,(Vi),to try
難,nán,(Vs),"hard to, difficult to"
那麼,nàme,(Ptc),then
再,zài,(Adv),again
試試看,shishikàn,,to give it a try; to try and see what happens
