Hanzi,Pinyin,Part of Speech,Translation
陳月美,Chén Yuèměi,N,Chen Yuemei (a woman from Vietnam)
李明華,Lǐ Mínghuá,N,Li Minghua (a man from Taiwan)
王開文,Wáng Kāiwén,N,Wang Kaiwen (a man from the US)
你,nǐ,N,you
來,lái,V,to come
是,shì,Vst,to be
小姐,xiǎojiě,N,Miss/Ms.
嗎,ma,Ptc,sentence final particle (yes/no question)
接,jiē,V,to pick someone up
我們,wǒmen,N,we/us
我,wǒ,N,I/me
這,zhè/zhèi,Det,this
先生,xiānshēng,N,Mr./sir/gentleman/husband
好,hǎo,Vs,fine/well/good
姓,xìng,Vst,to be surnamed
叫,jiào,Vst,to be called (first name)
你們,nǐmen,N,you (plural)
臺灣/台灣,Táiwān,N,Taiwan
歡迎,huānyíng,V,welcome
請問,qǐngwèn,Phrase,May I ask... / Excuse me...
是的,shìde,Phrase,yes (formal)
謝謝,xièxie,V,thank you
不客氣,bú kèqì,Phrase,you're welcome
你好,nǐ hǎo,Phrase,Hello / How are you
