Hanzi,Pinyin,Part of Speech,Translation
在,zài,(Ptc),indicating an action in progress
午餐,wǔcān,(N),lunch
剛,gāng,(Adv),just
下課,xiàkè,(V-sep),to finish class
下午,xiàwǔ,(N),afternoon
半,bàn,(N),half
比賽,bǐsài,(N),game, competition
結束,jiéshù,(Vp),to finish
最近,zuìjìn,(Adv),recently, lately
忙,máng,(Vs),busy
每,měi,(Det),every, each
天,tiān,(M),day
書法,shūfǎ,(N),calligraphy
懂,dǒng,(Vst),to understand
開始,kāishǐ,(Vp),to begin, to start
字,zì,(N),character
寫,xiě,(V),to write
可以,kěyǐ,(Vaux),may (permission)
問,wèn,(V),to ask
等一下,děng yíxià,,wait a moment
有事,yǒu shì,,to be busy, to be engaged
有意思,yǒu yìsi,,to be interesting, to be fun
