Hanzi,Pinyin,Part of Speech,Translation
法律,fǎlǜ,(N),law
夠,gòu,(Vs-pred),enough
履歷表,lǚlìbiǎo,(N),resume
面談,miàntán,"(Vi, N)","to have an interview, interview"
華僑,Huáqiáo,(N),overseas Chinese
辦公室,bàngōngshì,(N),office
談話,tánhuà,(V-sep),to talk
情形,qíngxíng,(N),situation
適合,shìhé,(Vst),suitable for
說明,shuōmíng,(V),to explain
然後,ránhòu,(Adv),"afterwards, and then"
月底,yuèdǐ,(N),the end of a month
發,fā,(V),to pay (wages)
馬上,mǎshàng,(Adv),immediately
答應,dāyìng,(V),to accept
順利,shùnlì,(Vs),"to go, to proceed, smoothly"
黃,Huáng,,"a common Chinese family name, literally ""yellow"""
沒想到,méi xiǎngdào,,"unexpectedly, didn't expect"
