Hanzi,Pinyin,Part of Speech,Translation
走,zǒu,(Vi),to get to
路人,lùrén,(N),"someone; lit. a person on the street"
幫忙,bāngmáng,(V-sep),to help
迷路,mílù,(Vp-sep),"to be lost, to have lost directions"
下,xià,(Det),next
路口,lùkǒu,(N),intersection
段,duàn,(N),section
過,guò,(V),to go past, to cross
第,dì,(Det),used to indicate ordinal numbers
紅綠燈,hónglǜdēng,(N),traffic light
告訴,gàosù,(V),to tell
提款機,tíkuǎnjī,(N),ATM machine
超商,chāo-shāng,(N),convenience store
應該,yīnggāi,(Vaux),should; ought to
郵局,yóujú,(N),post office
提,tí,(V),to withdraw (money)
那邊,nàbiān/nèibiān,(N),"over there, yonder"
師大 (師範大學),Shīdà (Shīfàn Dàxué),,NTNU (National Taiwan Normal University)
和平東路,Hépíng Dōng Lù,,Heping East Road
往前,wǎng qián,,forward, ahead
右轉,yòu zhuǎn,,to turn right
聽起來,tīng qǐlái,,to sound, sound like
看見,kànjiàn,,to see, to have seen
