Hanzi,Pinyin,Part of Speech,Translation
星期 + number,xīngqí,(N),week
回國,huíguó,(V-sep),to return to one's country
打算,dǎsuàn,(Vaux),to plan to
電視,diànshì,(N),TV
影片,yǐngpiàn,(N),film
旅行,lǚxíng,(Vi),to travel
功課,gōngkè,(N),homework
出去,chūqù,(Vi),to go out
大概,dàgài,(Adv),"approximately, about, probably"
放假,fàngjià,,to have a holiday
下個星期,xià ge xīngqí,,next week
有時候,yǒu shíhòu,,sometimes
多久,duō jiǔ,,how long
臺東,Táidōng,,name of one of the major cities on the southeastern coast of Taiwan
