Hanzi,Pinyin,Part of Speech,Translation
高美玲,Gāo Měilíng,,"Gao Meiling, a woman from France"
打工,dǎgōng,(V-sep),to work part-time
主任,zhǔrèn,(N),director
介紹,jièshào,(V),to introduce
歲,suì,(M),years of age
語言學,yǔyánxué,(N),linguistics
經驗,jīngyàn,(N),experience
談,tán,(V),"to talk over, to talk about, to discuss"
當,dāng,(V),to serve as
助教,zhùjiào,(N),teaching assistant
上午,shàngwǔ,(N),morning
除了,chúle,(Prep),"except for, other than"
年級,niánjí,(N),grade (year in school)
暑假,shǔjià,(N),summer vacation
請教,qǐngjiào,(V),"to ask, to inquire (polite form)"
貴,guì,(Vs-attr),your (honorable)
薪水,xīnshuǐ,(N),pay
算,suàn,(V),to calculate
按照,ànzhào,(Prep),"based on, in accordance with"
教授,jiàoshòu,(N),professor
鐘點費,zhōngdiǎnfèi,(N),hourly pay
份,fèn,(M),measure word for job
法文,Fǎwén,,French language
亞洲,Yàzhōu,,Asia
西班牙語,Xībānyá yǔ,,Spanish language
英文,Yīngwén,,English language
三年級,sān niánjí,,grade three (school or university)
