Hanzi,Pinyin,Part of Speech,Translation
醫生,yīshēng,(N),doctor
一直,yìzhí,(Adv),continuously, all the way
流,liú,(V),to flow
鼻水,bíshuǐ,(N),"snot, nasal mucus, a running nose"
頭,tóu,(N),head
痛,tòng,(Vs),painful
胃口,wèikǒu,(N),appetite
差,chā,(Vs),"poor, bad"
喉嚨,hóulóng,(N),throat
發炎,fāyán,(Vp-sep),to be inflamed
生病,shēngbìng,(Vp-sep),to fall ill
發燒,fāshāo,(Vp-sep),to have a fever
感冒,gǎnmào,(Vp),to catch/have a cold
藥,yào,(N),medicine
藥局,yàojú,(N),"pharmacy, drug store"
拿,ná,(V),to get
把,bǎ,(Ptc),disposal marker
水,shuǐ,(N),water
休息,xiūxí,(Vi),to take a rest
睡覺,shuìjiào,(V-sep),to sleep
