Hanzi,Pinyin,Part of Speech,Translation
結婚,jiéhūn,(Vp-sep),to get married to
日子,rìzi,(N),day
親戚,qīnqī,(N),relatives
熱鬧,rènào,(Vs),"to be boisterous, lively"
慶祝,qìngzhù,(V),to celebrate
件,jiàn,(M),measure word for clothing
喜事,xǐshì,(N),"an auspicious occasion, such as a wedding"
請客,qǐngkè,(V-sep),"to host a banquet, treat somebody to a meal"
紅包,hóngbāo,(N),red envelope with cash gift
送,sòng,(V),"to give a gift, to send off, to see off"
新人,xīnrén,(N),newlyweds (used only at a wedding)
喜宴,xǐyàn,(N),"wedding banquet, wedding reception"
敬酒,jìngjiǔ,(V-sep),to make a toast (alcoholic drinks)
大人,dàrén,(N),adult
小孩,xiǎohái,(N),"child, children"
不得了,bùdéliǎo,(Vs),very; extremely; indicates severity
另外,lìngwài,(Det),another
糖,táng,(N),candies
離開,líkāi,(Vp),"to depart, to leave"
句,jù,(M),measure word for utterances
祝福,zhùfú,(V),to give blessings to
話,huà,(N),"utterance, word"
一會兒,yìhuǐr,,in a moment
有說有笑,yǒushuō yǒuxiào,,laughing and joking
有吃有喝,yǒuchī yǒuhē,,an availability of food and drink
百年好合,bǎinián hǎohé,,"century-long matrimony, i.e., to have a long happy marriage"
早生貴子,zǎoshēng guìzǐ,,May you soon bear a child! (a traditional exhortation given to newly-weds)
