Hanzi,Pinyin,Part of Speech,Translation
飛機,fēijī,(N),airplane
轉機,zhuǎn jī,(V-sep),to transfer (flights)
機場,jīchǎng,(N),airport
巴士,bāshì,(N),bus
市區,shìqū,(N),downtown
下,xià,(V),"to get off, alight, disembark"
交通,jiāotōng,(N),transportation
便利,biànlì,(Vs),"convenient, handy"
到處,dàochù,(Adv),everywhere
路線,lùxiàn,(N),route
複雜,fùzá,(Vs),complicated
輕鬆,qīngsōng,(Vs),with ease
東部,dōngbù,(N),eastern part
海邊,hǎibiān,(N),seaside
島,dǎo,(N),island
搭,dā,(V),"to take (bus, boat, plane, taxi, etc.)"
船,chuán,(N),"boat, ship"
地,de,(Ptc),adverbial particle
美美,Měiměi,,"Meimei, name of a girl"
法國,Fǎguó,,France
歐洲,Ōuzhōu,,Europe
悠遊卡,yōuyóukǎ,,EasyCard (MRT pass)
綠島,Lǜdǎo,,"Green Island, to the southeast of the main island"
東南邊,dōngnán biān,,the southeast side of
好好地,hǎohǎo de,,to do something properly
