Hanzi,Pinyin,Part of Speech,Translation
牛肉,niúròu,(N),beef
麵,miàn,(N),noodles
真,zhēn,(Adv),really
好吃,hǎochī,(Vs),delicious
說,shuō,(V),say
少,shǎo,(Vs-pred),few in number
有名,yǒumíng,(Vs),"well known, famous"
小吃,xiǎochī,(N),"light repast, snack"
最,zuì,(Adv),most
湯,tāng,(N),"soup, broth"
這麼,zhème,(Adv),so
知道,zhīdào,(Vst),to know
家,jiā,(M),"measure word for restaurants, shops, etc."
店,diàn,(N),"shop, store"
一定,yídìng,(Adv),"really must, definitely"
點,diǎn,(V),to order (meals)
碗,wǎn,(M),a bowl of
是啊,shì a,,That's right.
小籠包,xiǎolóngbāo,,"xiaolongbao, e.g., small meat and cabbage-filled steamed buns"
臭豆腐,chòu dòufǔ,,stinky tofu (fermented tofu)
太好了,tài hǎo le,,Excellent. Great.
