Hanzi,Pinyin,Part of Speech,Translation
近,jìn,(Vs),near
方便,fāngbiàn,(Vs),convenient
這裡,zhèlǐ,(N),"here, this place"
學生,xuéshēng,(N),student
在,zài,(Prep),at
東西,dōngxi,(N),"things, stuff"
外面,wàimiàn,(N),outside
裡面,lǐmiàn,(N),inside
商店,shāngdiàn,(N),"store, shop"
吃飯,chīfàn,(V-sep),to have a meal
宿舍,sùshè,(N),dormitory
樓,lóu,(N),"a storey, a floor"
棟,dòng,(M),measure word for buildings
大樓,dàlóu,(N),a multi-storey building
圖書館,túshūguǎn,(N),library
旁邊,pángbiān,(N),"(by the) side, next to"
教室,jiàoshì,(N),classroom
游泳池,yóuyǒngchí,(N),swimming pool
