Hanzi,Pinyin,Part of Speech,Translation
選,xuǎn,(V),to select
作業,zuòyè,(N),"homework, assignment"
練習,liànxí,(V),to practice
半夜,bànyè,(N),"middle of the night, late at night"
高興,gāoxìng,(Vs),"glad, pleased"
平常,píngcháng,(Adv),usually
爬山,páshān,(V-sep),to go hiking
認識,rènshì,(Vpt),to get to know someone
聊天,liáotiān,(V-sep),to have a chat
文化,wénhuà,(N),culture
廣告,guǎnggào,(N),"advertisement, commercial"
位,wèi,(M),measure word for people (polite form)
了解,liǎojiě,(Vst),to understand
生活,shēnghuó,(N),life
陽明山,Yángmíng Shān,,Yangming Mountain
外國人,wàiguó rén,,foreigner
一些,yìxiē,,"a little bit of, some, a fair amount of"
