Hanzi,Pinyin,Part of Speech,Translation
臉色,liǎnsè,(N),"a person's ""color"" (said of the face when healthy or sick, pleased or angry etc.)"
難看,nánkàn,(Vs),not to look good
肚子,dùzi,(N),"stomach, abdomen"
吐,tù,(V),to throw up, to vomit
幾,jǐ,(N),(a) few
次,cì,(M),"measure word for times, occurrences"
陪,péi,(V),"to go/stay with somebody, to accompany"
看病,kànbìng,(V-sep),to see a doctor
健康,jiànkāng,(N),health
保險,bǎoxiǎn,(N),insurance
跟,gēn,(Prep),to
油,yóu,(Vs),"oily, greasy"
冰,bīng,(Vs),icy
別,bié,(Adv),"don't (used in imperatives)"
關心,guānxīn,(Vst),to be concerned about
包,bāo,(M),"measure word for bags, packages etc."
睡,shuì,(Vi),to sleep
小時,xiǎoshí,(N),hour
怎麼了,zěnme le,,What's wrong?
不用了,búyòng le,,It's not necessary.
健康中心,jiànkāng zhōngxīn,,health center
回家,huí jiā,,go home
最好,zuìhǎo,,It would be best.../ (You) should...
