Hanzi,Pinyin,Part of Speech,Translation
昨天,zuótiān,(N),yesterday
餐廳,cāntīng,(N),restaurant
可是,kěshì,(Conj),"but, however"
辣,là,(Vs),hot (spicy)
怕,pà,(Vst),(here) to not like, to fear
所以,suǒyǐ,(Conj),"therefore, so"
自己,zìjǐ,(N),self
做飯,zuòfàn,(V-sep),to cook
得,de,(Ptc),complement marker
會,huì,(Vaux),"to be able to, can"
甜點,tiándiǎn,(N),dessert
不錯,búcuò,(Vs),not bad
可以,kěyǐ,(Vaux),could (possibility)
教,jiāo,(V),to teach
到,dào,(Prep),to
有一點,yǒu yìdiǎn,,a little
不好,bù hǎo,,not well
