Hanzi,Pinyin,Part of Speech,Translation
下載,xiàzài,(V),to download
地圖,dìtú,(N),map
好用,hǎoyòng,(Vs),"easy to use, handy"
著,zhe,(Ptc),a particle indicating progression or continuation of action
日用品,rìyòngpǐn,(N),articles of daily use
經過,jīngguò,(V),to go past
巷子,xiàngzi,(N),alley
餓,è,(Vs),hungry
一邊,yìbiān,(Adv),"indicates doing two things simultaneously, as, while"
發現,fāxiàn,(Vpt),to discover
離,lí,(Prep),(away) from
背包,bēibāo,(N),backpack
正好,zhènghǎo,(Adv),"just, happen to"
最後,zuìhòu,(Adv),"in the end, finally"
枝,zhī,(M),measure word for pens
筆,bǐ,(N),pen
本,běn,(M),measure word for books
本子,běnzi,(N),notebook
左轉,zuǒ zhuǎn,,to turn left
師大路上,Shīdà Lù shàng,,on Shida Road
麵店,miàn diàn,,noodle shop
