Hanzi,Pinyin,Part of Speech,Translation
支,zhī,(M),measure word for cell phones
新,xīn,(Vs),new
手機,shǒujī,(N),cell phone
太,tài,(Adv),too
舊,jiù,(Vs),old
了,le,(Ptc),sentence-final particle indicating the speaker's sense of certainty
種,zhǒng,(M),"kind, type"
能,néng,(Vaux),"can, to be able to"
上網,shàngwǎng,(V-sep),"to access the internet, to use the internet"
那,nà / nèi,(Det),that
貴,guì,(Vs),expensive
賣,mài,(V),to sell
便宜,piányí,(Vs),"cheap, inexpensive"
要,yào,(Vst),"to take, to require"
萬,wàn,(N),ten thousand
千,qiān,(N),thousand
為什麼,wèishénme,,why
