Hanzi,Pinyin,Part of Speech,Translation
白如玉,Bái Rúyù,,a woman from the US
今天,jīntiān,(N),today
晚上,wǎnshàng,(N),"evening, night"
看,kàn,(V),"to see, to watch"
電影,diànyǐng,(N),movie
妳,nǐ,(N),you (female)
想,xiǎng,(Vaux),"to want, to think"
還是,háishì,(Conj),or (used in a question)
吧,ba,(Ptc),sentence-final particle for suggestion
可以,kěyǐ,(Vaux),could (possibility)
學,xué,(V),"to learn, to study"
中文,Zhōngwén,(N),Chinese language
一起,yìqǐ,(Adv),together
吃,chī,(V),to eat
晚飯,wǎnfàn,(N),dinner
菜,cài,(N),cuisine
越南,Yuènán,,Vietnam
好不好,hǎo bù hǎo,,"How about...? How does that sound?"
