Hanzi,Pinyin,Part of Speech,Translation
請,qǐng,V,please
喝,hē,V,to drink
茶,chá,N,tea
很,hěn,Adv,very
好喝,hǎohē,Vs,good to drink (tasty)
什麼,shénme,N,what
人,rén,N,person/people
喜歡,xǐhuān,Vst,to like
呢,ne,Ptc,sentence final particle (for follow-up questions)
他,tā,N,he/him
不,bù,Adv,not
哪,nǎ/něi,Det,which
要,yào,Vaux,to want to
咖啡,kāfēi,N,coffee
烏龍茶,Wūlóng chá,N,Oolong tea
日本,Rìběn,N,Japan
美國,Měiguó,N,United States
對不起,duìbùqǐ,Phrase,I am sorry
哪國,nǎ guó,Phrase,which country
