Hanzi,Pinyin,Part of Speech,Translation
天氣,tiānqì,(N),weather
冷,lěng,(Vs),cold
風,fēng,(N),wind
滑雪,huáxuě,(V-sep),to ski
春天,chūntiān,(N),spring (season)
想,xiàng,(Vst),to miss (someone)
新年,xīnnián,(N),New Year
快,kuài,(Adv),soon
父母,fùmǔ,(N),parents
冬天,dōngtiān,(N),winter (season)
明年,míngnián,(N),next year
秋天,qiūtiān,(N),autumn (season)
紅葉,hóngyè,(N),red maple leaves
只,zhǐ,(Adv),"only, merely"
玉山,Yùshān,,"Yu Shan (Mount Jade), tallest mountain in central Taiwan"
紐約,Niǔyuē,,New York
下雪,xiàxuě,,to snow
十二月底,shí'èryuè dǐ,,the end of December
