Hanzi,Pinyin,Part of Speech,Translation
李東健,Lǐ Dōngjiàn,,"Li Dongjian, a man from Seoul"
搬,bān,(V),to move to
河邊,hé biān,(N),riverside
公園,gōngyuán,(N),park
腳踏車,jiǎotàchē,(N),bicycle
正在,zhèngzài,(Adv),"right in the middle of, currently engaged in"
網站,wǎngzhàn,(N),website
資料,zīliào,(N),information
搬家,bān jiā,(V-sep),to move (home)
近,jìn,(Vs),"near, close by"
合約,héyuē,(N),"contract, agreement"
到期,dàoqí,(Vp),to expire
還好,háihǎo,(Adv),fortunately
光線,guāngxiàn,(N),natural lighting
重要,zhòngyào,(Vs),important
如果,rúguǒ,(Conj),if
別的,biéde,(Det),other
合適,héshì,(Vs),suitable
少,shǎo,(Vpt),to lack
可惜,kěxí,(Vs),"to be a shame, a pity"
放,fàng,(V),"to store, to leave at a place"
兩邊,liǎngbiān,(N),both places
願意,yuànyì,(Vaux),to be willing to
開,kāi,(V),to drive
存,cún,(V),to save
隨身碟,suíshēndié,(N),flash drive
什麼樣,shénmeyàng,,what kind of
慢慢來,mànmàn lái,,take your time
不急,bùjí,,"don't rush, no hurry"
