Hanzi,Pinyin,Part of Speech,Translation
喜酒,xǐjiǔ,(N),"wedding banquet, wedding reception"
恭喜,gōngxǐ,(V),to congratulate
新娘,xīnniáng,(N),bride
參加,cānjiā,(V),to attend
婚禮,hūnlǐ,(N),wedding ceremony
西裝,xīzhuāng,(N),a (western) suit
正式,zhèngshì,(Vs),formal
客人,kèrén,(N),guest
手,shǒu,(N),hand
照相機,zhàoxiàngjī,(N),camera
新郎,xīnláng,(N),bridegroom
站,zhàn,(Vi),to stand
白,bái,(Vs),white
帥,shuài,(Vs),"handsome, good looking (of men)"
禮服,lǐfú,(N),formal attire
座位,zuòwèi,(N),seat
看起來,kàn qǐlái,,"to look, it appears to me..."
