Hanzi,Pinyin,Part of Speech,Translation
坐,zuò,(V),to take by, to travel by
火車,huǒchē,(N),train
跟,gēn,(Prep),with
玩,wán,(V),to have fun
怎麼,zěnme,(Adv),how
慢,màn,(Vs),slow
鐘頭,zhōngtóu,(N),hour
比較,bǐjiào,(Adv),(comparatively) more
快,kuài,(Vs),fast
車票,chēpiào,(N),(train, bus) ticket
非常,fēicháng,(Adv),very
但是,dànshì,(Conj),but, however
又,yòu,(Adv),both...and...
舒服,shūfú,(Vs),comfortable
站,zhàn,(N),station
或是,huòshì,(Conj),or
臺南,Táinán,,a city in southwestern Taiwan
高鐵,gāotiě,,High Speed Rail (HSR)
網路上,wǎnglù shàng,,on the Internet
便利商店,biànlì shāngdiàn,,convenience store
