Hanzi,Pinyin,Part of Speech,Translation
水果,shuǐguǒ,(N),fruit
黃色,huángsè,(N),yellow
芒果,mángguǒ,(N),mango
給,gěi,(V),to give
塊,kuài,(M),measure word for pieces of food (e.g., meat, cake)
香,xiāng,(Vs),fragrant
甜,tián,(Vs),sweet (taste)
紅色,hóngsè,(N),red
西瓜,xīguā,(N),watermelon
吧,ba,(Ptc),sentence-final particle for guessing
對,duì,(Vs),"correct, right"
以前,yǐqián,(N),before
機會,jīhuì,(N),opportunity
請,qǐng,(V),to treat sb to sth
吃吃看,chīchīkàn,,to have a taste, try it, taste it
