Hanzi,Pinyin,Part of Speech,Translation
一共,yígòng,(Adv),altogether
多少,duōshǎo,(N),how much, how many
錢,qián,(N),money
老闆,lǎobǎn,(N),store-owner, boss
買,mǎi,(V),to buy
杯,bēi,(M),cup
熱,rè,(Vs),hot
包子,bāozi,(N),steamed buns with meat stuffing filling
要,yào,(V),to want, to need
大,dà,(Vs),large
中,zhōng,(Vs-attr),medium
小,xiǎo,(Vs),small
幫,bāng,(Prep),for
微波,wéibō,(V),to microwave
百,bǎi,(N),hundred
塊,kuài,(M),measure word for Chinese money
好的,hǎode,,OK
外帶,wàidài,,take out, to go
內用,nèiyòng,,for here
