Hanzi,Pinyin,Part of Speech,Translation
週末,zhōumò,(N),weekend
聽,tīng,(V),to listen
音樂,yīnyuè,(N),music
運動,yùndòng,(Vi),to exercise
打,dǎ,(V),to play (ball games)
網球,wǎngqiú,(N),tennis
棒球,bàngqiú,(N),baseball
和,hàn,(Conj),"and, as well as"
游泳,yóuyǒng,(V-sep),to swim
常,cháng,(Adv),often
籃球,lánqiú,(N),basketball
也,yě,(Adv),also
踢,tī,(V),to kick
足球,zúqiú,(N),soccer
覺得,juéde,(Vst),"to feel, to think"
好玩,hǎowán,(Vs),"interesting, fun"
明天,míngtiān,(N),tomorrow
早上,zǎoshàng,(N),morning
去,qù,(V),to go
怎麼樣,zěnmeyàng,(Vs),"How about it? How does that sound? What do you think?"
啊,a,(Ptc),sentence-final particle
做什麼,zuò shénme,Phrase,do what
好啊,hǎo a,Phrase,OK
