Hanzi,Pinyin,Part of Speech,Translation
張怡君,Zhāng Yíjūn,,a woman from Taiwan
馬安同,Mǎ Āntóng,,a man from the Republic of Honduras
的,de,Ptc,modification marker
家人,jiārén,N,family (members)
家,jiā,N,home; house
漂亮,piàoliang,Vs,pretty
房子,fángzi,N,house
坐,zuò,Vi,to sit
好,hǎo,Ptc,OK
有,yǒu,Vst,to have
多,duō,Vs-pred,many
照片,zhàopiàn,N,photo
都,dōu,Adv,all; both
照相,zhàoxiàng,V-sep,to take a photo
張,zhāng,M,measure word for flat objects (e.g., paper, tickets)
好看,hǎokàn,Vs,good-looking
誰,shéi,N,who
姐姐,jiějie,N,older sister
妹妹,mèimei,N,younger sister
爸爸,bàba,N,dad
媽媽,māma,N,mom
請進,qǐng jìn,,Please come in!
