Hanzi,Pinyin,Part of Speech,Translation
點,diǎn,(M),o'clock
KTV,,(N),Karaoke
唱歌,chànggē,(V-sep),to sing
分,fēn,(M),minute
見面,jiànmiàn,(V-sep),meet
從,cóng,(Prep),from
中午,zhōngwǔ,(N),noon
得,děi,(Vaux),"to have to, must"
銀行,yínháng,(N),bank
時候,shíhòu,(N),when
後天,hòutiān,(N),the day after tomorrow
大安,Dà'ān,,"Da-an (name of a KTV named after a district in Taipei, where Shida is also located)"
下次,xià cì,,next time
沒問題,méi wèntí,,No problem.
對了,duìle,,by the way
有空,yǒu kòng,,to have free time
再見,zàijiàn,,Goodbye
