Hanzi,Pinyin,Part of Speech,Translation
計畫,jìhuà,(V),to plan to
年,nián,(M),measure word for year
久,jiǔ,(Vs),long (time)
時間,shíjiān,(N),time
先,xiān,(Adv),first
念,niàn,(V),to study
大學,dàxué,(N),university
需要,xūyào,(Vst),to need
花,huā,(V),to spend (time or money)
獎學金,jiǎngxuéjīn,(N),scholarship
成績,chéngjī,(N),grades
學費,xuéfèi,(N),tuition
公司,gōngsī,(N),company
替,tì,(Prep),"for, on behalf of"
希望,xīwàng,(Vst),to hope
以後,yǐhòu,(N),in the future
到,dào,(V),to go/come to
上班,shàngbān,(V-sep),to go to work
念書,niànshū,(V-sep),to study
累,lèi,(Vs),tired
語言中心,yǔyán zhōngxīn,,language center
加油,jiāyóu,,keep up the good work
