Hanzi,Pinyin,Part of Speech,Translation
他們,tāmen,(N),they (used for people only)
學校,xuéxiào,(N),school
在,zài,(Vst),to be located at
山上,shānshàng,(N),"on a mountain, in the mountains"
哪裡,nǎlǐ,(N),where
遠,yuǎn,(Vs),far
那裡,nàlǐ,(N),"that place, there"
風景,fēngjǐng,(N),"scenery, landscape"
美,měi,(Vs),beautiful
前面,qiánmiàn,(N),front
海,hǎi,(N),ocean
後面,hòumiàn,(N),back
山,shān,(N),mountain
真的,zhēnde,(Adv),"really, truly"
地方,dìfāng,(N),place
現在,xiànzài,(N),now
附近,fùjìn,(N),"vicinity, near"
樓下,lóuxià,(N),downstairs
找,zhǎo,(V),"to meet, to see"
朋友,péngyǒu,(N),friend
上課,shàngkè,(V-sep),to go to class
花蓮,Huālián,,name of a city on the eastern coast of Taiwan
聽說,tīngshuō,,hear that
