Hanzi,Pinyin,Part of Speech,Translation
同學,tóngxué,(N),classmate
參觀,cānguān,(V),to visit (an institution)
古代,gǔdài,(N),ancient times
騎,qí,(V),to ride
機車,jīchē,(N),motorcycle, scooter
載,zài,(V),"to give someone a ride (on / in a vehicle, e.g. motorcycle, bicycle or car)"
捷運,jiéyùn,(N),Mass Rapid Transit (MRT)
比,bǐ,(Prep),(more...) than
故宮博物院 (故宮),Gùgōng Bówùyuàn,,National Palace Museum
中國,Zhōngguó,,China
公共汽車 (公車),gōnggòng qìchē,,bus
不行,bù xíng,,will not do
計程車,jìchéngchē,,taxi
差不多,chàbùduō,,about the same
